bin_count,dataset,seed,AUC,AUPRC,F1,Precision,Recall,Runtime,labels_consumed_during_fit
4,Synthetic,456,0.8526282608695651,0.5833541915872736,0.5815217391304348,0.5815217391304348,0.5815217391304348,15.027199600008316,False
4,Synthetic,789,0.8421333333333334,0.5662801027822139,0.5543478260869565,0.5543478260869565,0.5543478260869565,10.974578100023791,False
4,Synthetic,1024,0.8262786231884058,0.5434102896681401,0.5344202898550725,0.5344202898550725,0.5344202898550725,13.228434999997262,False
4,Synthetic,2048,0.9129478260869565,0.7575872161047826,0.7264492753623188,0.7264492753623188,0.7264492753623188,15.848260099999607,False
4,Synthetic,3072,0.8484253623188406,0.5409030123188214,0.5452898550724637,0.5452898550724637,0.5452898550724637,11.504048599977978,False
4,Synthetic,4096,0.8505123188405798,0.5469669635956146,0.519927536231884,0.519927536231884,0.519927536231884,11.461457500001416,False
4,Synthetic,5120,0.9026105072463768,0.7406880538521634,0.7228260869565217,0.7228260869565217,0.7228260869565217,3.965722699998878,False
4,Synthetic,6144,0.8851054347826087,0.628767776930695,0.6195652173913043,0.6195652173913043,0.6195652173913043,4.919412599992938,False
8,GeoLife,42,0.8131626506024097,0.4521138344853497,0.45481927710843373,0.45481927710843373,0.45481927710843373,1.2298854000109714,False
8,GeoLife,123,0.8414116465863455,0.5679009121094594,0.5301204819277109,0.5301204819277109,0.5301204819277109,1.3871654000249691,False
8,GeoLife,456,0.7858303212851405,0.38169541338442264,0.35240963855421686,0.35240963855421686,0.35240963855421686,0.6526261000253726,False
8,GeoLife,789,0.8317389558232933,0.5621449758435525,0.5451807228915663,0.5451807228915663,0.5451807228915663,2.4586078000138514,False
8,GeoLife,1024,0.8496375502008032,0.5613233232576834,0.5150602409638554,0.5150602409638554,0.5150602409638554,2.1841739999945275,False
8,Grid-Network,42,0.9368644927536232,0.7910292269243421,0.7228260869565217,0.7228260869565217,0.7228260869565217,12.33108760000323,False
8,Grid-Network,123,0.8897615942028986,0.7088291943762461,0.6612318840579711,0.6612318840579711,0.6612318840579711,10.233574499987299,False
8,Grid-Network,456,0.9289778985507247,0.7724236024875901,0.7083333333333334,0.7083333333333334,0.7083333333333334,11.783341500005918,False
8,Grid-Network,789,0.9357003623188405,0.7327355242376994,0.6394927536231884,0.6394927536231884,0.6394927536231884,11.81040970000322,False
