dataset,method,seed,n_samples,end_to_end_seconds,fit_score_seconds,timing_scope,epochs,pretrain_epochs,parameter_count,peak_gpu_memory_bytes,device
Grid-Network,USAD,42,5552,31.832860651426017,31.832860651426017,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,123,5552,31.747713605407625,31.747713605407625,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,456,5552,32.152743857353926,32.152743857353926,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,789,5552,31.597684055101126,31.597684055101126,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,1024,5552,29.83541127713397,29.83541127713397,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,2048,5552,30.27938750386238,30.27938750386238,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,3072,5552,28.96899181511253,28.96899181511253,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,4096,5552,29.325210012029856,29.325210012029856,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,5120,5552,30.638707648031414,30.638707648031414,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,USAD,6144,5552,31.64351741457358,31.64351741457358,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:3
Grid-Network,LM-TAD,42,5552,856.4590054261498,854.0379073480144,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,123,5552,829.9280490870588,827.4735631169751,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,456,5552,758.282732241787,755.6571510271169,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,789,5552,761.8859179709107,759.3323528007604,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,1024,5552,810.5995144229382,808.2375534819439,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,2048,5552,798.7869936358184,796.6254381947219,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,3072,5552,777.9271573028527,775.4164124648087,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,4096,5552,671.6543399370275,669.059161612764,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,5120,5552,827.0265655419789,824.4778536511585,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,LM-TAD,6144,5552,874.4746319968253,871.9764117319137,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Grid-Network,MST-OATD,42,5552,35.31759615102783,34.6823211829178,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,MST-OATD,123,5552,35.165816497057676,34.42747894814238,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,MST-OATD,456,5552,36.02089507924393,35.35805310215801,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,MST-OATD,789,5552,34.653922006022185,33.77369316201657,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,MST-OATD,1024,5552,35.03276612376794,34.20368627924472,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,MST-OATD,2048,5552,34.953454456757754,34.186956390272826,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,MST-OATD,3072,5552,34.85042270924896,34.20368864061311,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,MST-OATD,4096,5552,35.48996995994821,34.64042810117826,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,MST-OATD,5120,5552,35.02714975690469,34.39457036415115,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,MST-OATD,6144,5552,34.100624999031425,33.33048311714083,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Porto-derived,LSTM-AE,42,5552,17.588595149107277,17.588595149107277,fit_score_plus_job_io; pure training and scoring are not separated,62,,52946,0,cuda:4
Porto-derived,LSTM-AE,123,5552,11.783797485753894,11.783797485753894,fit_score_plus_job_io; pure training and scoring are not separated,42,,52946,0,cuda:4
Porto-derived,LSTM-AE,456,5552,14.431253696791828,14.431253696791828,fit_score_plus_job_io; pure training and scoring are not separated,55,,52946,0,cuda:4
Porto-derived,LSTM-AE,789,5552,12.599547670222819,12.599547670222819,fit_score_plus_job_io; pure training and scoring are not separated,45,,52946,0,cuda:4
Porto-derived,LSTM-AE,1024,5552,20.578978078905493,20.578978078905493,fit_score_plus_job_io; pure training and scoring are not separated,80,,52946,0,cuda:4
Porto-derived,USAD,42,5552,35.344801062718034,35.344801062718034,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:5
Porto-derived,USAD,123,5552,32.82310846820474,32.82310846820474,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:5
Porto-derived,USAD,456,5552,32.853956318926066,32.853956318926066,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:5
Porto-derived,USAD,789,5552,31.462311292998493,31.462311292998493,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:5
Porto-derived,USAD,1024,5552,30.75456996774301,30.75456996774301,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:5
Porto-derived,LM-TAD,42,5552,818.1645298232324,815.6960932170041,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Porto-derived,LM-TAD,123,5552,871.7166356211528,869.1004327666014,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Porto-derived,LM-TAD,456,5552,854.0666502336971,851.5795790739357,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Porto-derived,LM-TAD,789,5552,721.4244660399854,718.8591014379635,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Porto-derived,LM-TAD,1024,5552,808.8260935521685,806.4286147798412,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1249036288,cuda:0
Porto-derived,MST-OATD,42,5552,35.74796397797763,35.04877369804308,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Porto-derived,MST-OATD,123,5552,35.70596697926521,35.05880186287686,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Porto-derived,MST-OATD,456,5552,35.91150150820613,35.284969033207744,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Porto-derived,MST-OATD,789,5552,35.39219538960606,34.58647623611614,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Porto-derived,MST-OATD,1024,5552,34.89011842897162,33.99665368068963,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
