dataset,method,n_seeds,end_to_end_mean_seconds,end_to_end_std_seconds,end_to_end_median_seconds,end_to_end_min_seconds,end_to_end_max_seconds,throughput_mean_samples_per_second,fit_score_mean_seconds,fit_score_std_seconds,peak_gpu_memory_mean_bytes,peak_gpu_memory_max_bytes
Grid-Network,CoMadOut,10,0.23790702521800994,0.045271116358929823,0.23145221848972142,0.16708858497440815,0.30501166405156255,24150.987030278244,,,,
Grid-Network,Shape-KNN,10,28.05801555644721,11.233695879053695,26.708887149812654,13.587096901144832,44.995414797682315,233.3617058950205,,,,
Grid-Network,SegmentOD,10,0.7241669089533389,0.13989076253128935,0.7185832450632006,0.49596473993733525,0.8730840771459043,7952.097665723998,,,,
Grid-Network,TADS,10,4.785497047146782,0.5883072941196882,4.688543041469529,4.147260576952249,5.9563873102888465,1175.2456659293418,,,,
Grid-Network,Profile-TAD,10,2.1217188886366785,0.3279473216228582,2.2319959439337254,1.585246419068426,2.48350315913558,2680.118568651081,,,,
Grid-Network,LSTM-AE,10,13.277926358999684,2.5901908140279715,12.683164945803583,8.758292497135699,18.494489938020706,433.0411436541034,13.277926358999684,2.5901908140279715,0.0,0.0
Grid-Network,USAD,10,30.80222278400324,1.1497695759234299,31.11819585156627,28.96899181511253,32.152743857353926,180.47628381708532,30.80222278400324,1.1497695759234299,0.0,0.0
Grid-Network,LM-TAD,10,796.7024907563348,58.23146477646063,804.6932540293783,671.6543399370275,874.4746319968253,7.0046252583410435,794.2293805430178,58.281793849693386,1249036288.0,1249036288.0
Grid-Network,MST-OATD,10,35.06126177390106,0.5086065553012982,35.02995794033632,34.100624999031425,36.02089507924393,158.38140573878792,34.320135928783564,0.5427266518844144,6965044224.0,6965044224.0
Porto-derived,EWGB-TAD,5,5.724996019998798,0.9393955343268497,6.047725500000524,4.299912000002223,6.752103399994667,993.6425719489886,,,,
Porto-derived,IForest,5,0.9968132633715868,0.19301767679980014,1.0309856939129531,0.7364556309767067,1.240644589997828,5751.410921997784,,,,
Porto-derived,ECOD,5,0.14196942234411836,0.02238639008111204,0.1427417602390051,0.1154161817394197,0.1741388589143753,39881.17793793392,,,,
Porto-derived,iBoost-ODE,5,2.9958559115417303,0.4722010294964992,2.9071063636802137,2.486427617724985,3.662690734025091,1889.2580469347772,,,,
Porto-derived,CoMadOut,5,0.3203252611681819,0.09318588800318801,0.3122169259004295,0.22673890506848693,0.46180851804092526,18465.23655105471,,,,
Porto-derived,Shape-KNN,5,30.129704716894775,13.314738824871904,36.476776777766645,14.589389672968537,42.23759347386658,225.95304130990203,,,,
Porto-derived,SegmentOD,5,0.7589542078785598,0.0956385113552843,0.7515852013602853,0.6278342371806502,0.8952028448693454,7410.197419720799,,,,
Porto-derived,TADS,5,4.491440146882087,0.8949958513767181,5.014025365933776,3.4493789402768016,5.346145648974925,1279.6539134400277,,,,
Porto-derived,Profile-TAD,5,2.3452937367372213,0.4388691679219985,2.401909471023828,1.630117631983012,2.8171117547899485,2449.5046388885726,,,,
Porto-derived,LSTM-AE,5,15.396434416156263,3.656146276371906,14.431253696791828,11.783797485753894,20.578978078905493,376.39513740153495,15.396434416156263,3.656146276371906,0.0,0.0
Porto-derived,USAD,5,32.64774942211807,1.7561856134700669,32.82310846820474,30.75456996774301,35.344801062718034,170.44232747157648,32.64774942211807,1.7561856134700669,0.0,0.0
Porto-derived,LM-TAD,5,814.8396750540472,58.19657060762628,818.1645298232324,721.4244660399854,871.7166356211528,6.843156293061488,812.3327642550692,58.194452624025075,1249036288.0,1249036288.0
Porto-derived,MST-OATD,5,35.52954925680533,0.40387299798066084,35.70596697926521,34.89011842897162,35.91150150820613,156.28058709496398,34.79513490218669,0.5135418874945831,6965044224.0,6965044224.0
GeoLife,EWGB-TAD,5,3.7754613199969755,0.35433886563994965,3.788897899998119,3.2631222999916645,4.2147685999952955,889.0091716051617,,,,
GeoLife,IForest,5,0.800915797892958,0.24123796221213475,0.6422429378144443,0.6154108298942447,1.077946693636477,4451.67694320754,,,,
GeoLife,ECOD,5,0.11498216381296515,0.03351129725314079,0.13090198999270797,0.07794169383123517,0.1485978802666068,31307.315390537748,,,,
GeoLife,iBoost-ODE,5,2.224124873057008,0.5046060966888223,2.057771645952016,1.7138279951177537,3.0010648709721863,1555.8070590316006,,,,
GeoLife,CoMadOut,5,0.21434314614161848,0.05268108054604618,0.2262650402262807,0.12448613718152046,0.25679740495979786,16660.47470630973,,,,
GeoLife,Shape-KNN,5,2.2535679884254933,0.40291098247981655,2.2543802550062537,1.8195891152136028,2.7577059189788997,1517.1111252816286,,,,
GeoLife,SegmentOD,5,0.45949118221178653,0.12002164582128405,0.3904604301787913,0.3618079209700227,0.5932615818455815,7634.741136403345,,,,
GeoLife,TADS,5,2.9456855678930878,0.48744717595628184,3.142491179984063,2.1494313166476786,3.3825833038426936,1161.1903092690784,,,,
GeoLife,Profile-TAD,5,1.4457916048355401,0.38274019793750264,1.339836056344211,1.1545879007317126,2.094381770119071,2413.401091198504,,,,
GeoLife,LSTM-AE,5,13.103275419585406,0.56528021705286,13.219146597199142,12.360458228271455,13.623808709904552,254.67148043656,13.103275419585406,0.56528021705286,0.0,0.0
GeoLife,USAD,5,20.30647329473868,0.5641862592440887,20.371508345007896,19.358599356375635,20.750495896674693,164.18982509276537,20.30647329473868,0.5641862592440887,0.0,0.0
GeoLife,LM-TAD,5,471.4065257095732,70.56894862725763,502.3612662400119,356.3286337191239,531.9531420348212,7.218293655808479,468.9627651045099,70.56096608277028,1250551296.0,1250551296.0
GeoLife,MST-OATD,5,25.703762487880887,0.4820732943194616,26.01151969563216,25.11852240981534,26.117972558829933,129.66756979021605,25.12133500352502,0.4613459641162262,6965044224.0,6965044224.0
