dataset,method,seed,AUC,AUPRC,F1,Precision,Recall,Runtime
Synthetic,MST-OATD,456,0.8362842391304348,0.5173545222422008,0.5144927536231884,0.5144927536231884,0.5144927536231884,35.98091440927237
Synthetic,MST-OATD,789,0.827480072463768,0.48980754379013036,0.4673913043478261,0.4673913043478261,0.4673913043478261,35.362936324905604
Synthetic,MST-OATD,1024,0.8347278985507247,0.4739378795779766,0.483695652173913,0.483695652173913,0.483695652173913,35.25790795404464
Synthetic,MST-OATD,2048,0.8541865942028984,0.48340669664757535,0.4927536231884058,0.4927536231884058,0.4927536231884058,34.729735914152116
Synthetic,MST-OATD,3072,0.853820652173913,0.5042790767610208,0.5018115942028986,0.5018115942028986,0.5018115942028986,35.24570897500962
Synthetic,MST-OATD,4096,0.8322434782608696,0.49168906047083705,0.47644927536231885,0.47644927536231885,0.47644927536231885,35.09011842869222
Synthetic,MST-OATD,5120,0.8323471014492754,0.4957927705791981,0.4945652173913043,0.4945652173913043,0.4945652173913043,35.06772951502353
Synthetic,MST-OATD,6144,0.8548626811594202,0.5623422242583008,0.5416666666666666,0.5416666666666666,0.5416666666666666,34.58537631109357
Grid-Network,EWGB-TAD,42,0.9340960144927537,0.786651490696634,0.717391304347826,0.717391304347826,0.717391304347826,5.581940399992163
Grid-Network,EWGB-TAD,123,0.8860699275362318,0.7012784014559612,0.6521739130434783,0.6521739130434783,0.6521739130434783,5.707015000007232
Grid-Network,EWGB-TAD,456,0.9271152173913043,0.7650536788733752,0.6920289855072463,0.6920289855072463,0.6920289855072463,5.337804299997515
Grid-Network,EWGB-TAD,789,0.9366152173913043,0.7376858846731912,0.6376811594202898,0.6376811594202898,0.6376811594202898,5.824384599996847
Grid-Network,EWGB-TAD,1024,0.9145909420289855,0.728686154175496,0.644927536231884,0.644927536231884,0.644927536231884,5.865609000000404
Grid-Network,EWGB-TAD,2048,0.9128181159420289,0.728622725354398,0.6684782608695652,0.6684782608695652,0.6684782608695652,7.958148700010497
Grid-Network,EWGB-TAD,3072,0.9128003623188404,0.7457728090614217,0.6503623188405797,0.6503623188405797,0.6503623188405797,7.062451999998302
Grid-Network,EWGB-TAD,4096,0.9341836956521741,0.777661123687799,0.717391304347826,0.717391304347826,0.717391304347826,6.2613535999989836
Grid-Network,EWGB-TAD,5120,0.9323518115942028,0.768589324634674,0.6739130434782609,0.6739130434782609,0.6739130434782609,6.831100900002639
Grid-Network,EWGB-TAD,6144,0.9279050724637681,0.7823957499299983,0.677536231884058,0.677536231884058,0.677536231884058,6.968147499996121
Grid-Network,IForest,42,0.8609050724637681,0.6756457338591092,0.5778985507246377,0.5778985507246377,0.5778985507246377,1.086484698113054
Grid-Network,IForest,123,0.8342210144927535,0.6756034289766374,0.5960144927536232,0.5960144927536232,0.5960144927536232,0.8039353950880468
Grid-Network,IForest,456,0.8633072463768117,0.6701084055816192,0.5670289855072463,0.5670289855072463,0.5670289855072463,0.8266444951295853
Grid-Network,IForest,789,0.8815923913043477,0.7024007354214542,0.6159420289855072,0.6159420289855072,0.6159420289855072,0.8219760088250041
Grid-Network,IForest,1024,0.8460742753623189,0.6614605852227475,0.5978260869565217,0.5978260869565217,0.5978260869565217,0.8150433851405978
Grid-Network,IForest,2048,0.8312221014492753,0.6677200553993037,0.5797101449275363,0.5797101449275363,0.5797101449275363,0.6390168373472989
Grid-Network,IForest,3072,0.8535347826086956,0.6828661588015472,0.5978260869565217,0.5978260869565217,0.5978260869565217,1.059998129028827
Grid-Network,IForest,4096,0.8390224637681158,0.6601878890553612,0.5670289855072463,0.5670289855072463,0.5670289855072463,0.7046361682005227
Grid-Network,IForest,5120,0.8542985507246378,0.6728644845413525,0.5760869565217391,0.5760869565217391,0.5760869565217391,1.0252678832039237
Grid-Network,IForest,6144,0.8367376811594203,0.6614994092020409,0.5742753623188406,0.5742753623188406,0.5742753623188406,0.8884278871119022
Grid-Network,ECOD,42,0.7804351449275363,0.41639483040427283,0.4673913043478261,0.4673913043478261,0.4673913043478261,0.15897814789786935
Grid-Network,ECOD,123,0.7659376811594203,0.41783602428949657,0.47101449275362317,0.47101449275362317,0.47101449275362317,0.12056213803589344
Grid-Network,ECOD,456,0.7620945652173914,0.3918655319762081,0.44565217391304346,0.44565217391304346,0.44565217391304346,0.17810274427756667
Grid-Network,ECOD,789,0.8035673913043477,0.4777281728978822,0.5036231884057971,0.5036231884057971,0.5036231884057971,0.10774251399561763
Grid-Network,ECOD,1024,0.7613304347826088,0.40929955273366636,0.45471014492753625,0.45471014492753625,0.45471014492753625,0.12723201559856534
Grid-Network,ECOD,2048,0.7691184782608697,0.36604015265764756,0.47282608695652173,0.47282608695652173,0.47282608695652173,0.1074832477606833
Grid-Network,ECOD,3072,0.7389800724637682,0.36085180987014426,0.4420289855072464,0.4420289855072464,0.4420289855072464,0.17965422198176384
Grid-Network,ECOD,4096,0.7574307971014493,0.3311506858602625,0.4420289855072464,0.4420289855072464,0.4420289855072464,0.12894170498475432
Grid-Network,ECOD,5120,0.7571880434782609,0.39555670468305154,0.4692028985507246,0.4692028985507246,0.4692028985507246,0.09775495296344161
Grid-Network,ECOD,6144,0.7735061594202898,0.3620063103235722,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.11820293264463544
Grid-Network,iBoost-ODE,42,0.8460980072463768,0.6452425700794104,0.572463768115942,0.572463768115942,0.572463768115942,4.085540615953505
Grid-Network,iBoost-ODE,123,0.8056543478260869,0.6294982341394557,0.5652173913043478,0.5652173913043478,0.5652173913043478,2.8762746918946505
Grid-Network,iBoost-ODE,456,0.8296161231884058,0.5643184177218467,0.5416666666666666,0.5416666666666666,0.5416666666666666,2.846249822061509
Grid-Network,iBoost-ODE,789,0.8575507246376812,0.6601208249079877,0.5778985507246377,0.5778985507246377,0.5778985507246377,2.8238305561244488
Grid-Network,iBoost-ODE,1024,0.8275275362318839,0.6476431137718934,0.5760869565217391,0.5760869565217391,0.5760869565217391,3.088609913829714
Grid-Network,iBoost-ODE,2048,0.8273985507246377,0.6251521433624537,0.572463768115942,0.572463768115942,0.572463768115942,2.5822004228830338
Grid-Network,iBoost-ODE,3072,0.8061652173913043,0.6311941729182533,0.5742753623188406,0.5742753623188406,0.5742753623188406,2.366652963217348
Grid-Network,iBoost-ODE,4096,0.8107918478260869,0.6001622303647897,0.5362318840579711,0.5362318840579711,0.5362318840579711,3.972702892962843
Grid-Network,iBoost-ODE,5120,0.8164054347826086,0.6532808318177943,0.5833333333333334,0.5833333333333334,0.5833333333333334,3.1579369585961103
Grid-Network,iBoost-ODE,6144,0.8246920289855073,0.6133011639676825,0.5489130434782609,0.5489130434782609,0.5489130434782609,2.4786605979315937
Grid-Network,CoMadOut,42,0.8878144927536231,0.7571225999331762,0.7010869565217391,0.7010869565217391,0.7010869565217391,0.30501166405156255
Grid-Network,CoMadOut,123,0.8823811594202899,0.7369370070145256,0.6340579710144928,0.6340579710144928,0.6340579710144928,0.23777245078235865
Grid-Network,CoMadOut,456,0.8619016304347826,0.6038300989332867,0.5344202898550725,0.5344202898550725,0.5344202898550725,0.28450089879333973
Grid-Network,CoMadOut,789,0.9181858695652174,0.7492461163894948,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.18775751488283277
Grid-Network,CoMadOut,1024,0.8908184782608696,0.7472138348517426,0.6648550724637681,0.6648550724637681,0.6648550724637681,0.2251319861970842
Grid-Network,CoMadOut,2048,0.8813748188405797,0.7405348294981041,0.6630434782608695,0.6630434782608695,0.6630434782608695,0.28369439765810966
Grid-Network,CoMadOut,3072,0.8935322463768116,0.7620499475401917,0.6829710144927537,0.6829710144927537,0.6829710144927537,0.26134165097028017
Grid-Network,CoMadOut,4096,0.8870465579710146,0.7698245645278022,0.7028985507246377,0.7028985507246377,0.7028985507246377,0.22409837413579226
Grid-Network,CoMadOut,5120,0.9099722826086958,0.757945188592466,0.6612318840579711,0.6612318840579711,0.6612318840579711,0.20267272973433137
Grid-Network,CoMadOut,6144,0.9034172101449276,0.7838095865944031,0.7010869565217391,0.7010869565217391,0.7010869565217391,0.16708858497440815
Grid-Network,Shape-KNN,42,0.9610061594202898,0.9161116423949596,0.8641304347826086,0.8641304347826086,0.8641304347826086,36.21809389209375
Grid-Network,Shape-KNN,123,0.963276811594203,0.9059706648680832,0.8369565217391305,0.8369565217391305,0.8369565217391305,44.995414797682315
Grid-Network,Shape-KNN,456,0.9573782608695652,0.9144962170756058,0.8568840579710145,0.8568840579710145,0.8568840579710145,34.97899530362338
Grid-Network,Shape-KNN,789,0.9705496376811595,0.9393434901584256,0.8967391304347826,0.8967391304347826,0.8967391304347826,14.317756267730147
Grid-Network,Shape-KNN,1024,0.958423188405797,0.9119063591206192,0.8568840579710145,0.8568840579710145,0.8568840579710145,23.345898542087525
Grid-Network,Shape-KNN,2048,0.9622826086956522,0.9171709326913672,0.8731884057971014,0.8731884057971014,0.8731884057971014,26.786062660627067
Grid-Network,Shape-KNN,3072,0.9641083333333335,0.9226439289526196,0.8659420289855072,0.8659420289855072,0.8659420289855072,17.53374911285937
Grid-Network,Shape-KNN,4096,0.9601731884057971,0.9235316481458156,0.8731884057971014,0.8731884057971014,0.8731884057971014,26.63171163899824
Grid-Network,Shape-KNN,5120,0.9653086956521739,0.9249924723469375,0.8731884057971014,0.8731884057971014,0.8731884057971014,13.587096901144832
Grid-Network,Shape-KNN,6144,0.9499655797101448,0.9019277866450109,0.8568840579710145,0.8568840579710145,0.8568840579710145,42.18537644762546
Grid-Network,SegmentOD,42,0.9315083333333334,0.8603707511510632,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.6145713021978736
