analysis,variant,dataset,seed,AUC,AUPRC,F1,Precision,Recall,Runtime
component,g0_l1_f1,Synthetic,6144,0.8702467391304347,0.5904944214575256,0.5851449275362319,0.5851449275362319,0.5851449275362319,21.819547199993394
component,g1_l0_f0,Synthetic,6144,0.9248242753623189,0.8386932510196327,0.782608695652174,0.782608695652174,0.782608695652174,4.726403699954972
component,g1_l0_f1,Synthetic,6144,0.8947036231884058,0.6774745199315154,0.6431159420289855,0.6431159420289855,0.6431159420289855,4.9456983000272885
component,g1_l1_f0,Synthetic,6144,0.9144228260869565,0.7887866754891305,0.7336956521739131,0.7336956521739131,0.7336956521739131,6.910234899958596
component,g1_l1_f1,Synthetic,6144,0.8674065217391304,0.5729251377075967,0.5652173913043478,0.5652173913043478,0.5652173913043478,6.736642699979711
component,g0_l0_f0,Grid-Network,42,0.8868173913043478,0.7357744450095304,0.6467391304347826,0.6467391304347826,0.6467391304347826,14.855559000046924
component,g0_l0_f1,Grid-Network,42,0.9183884057971013,0.7717684362473981,0.6938405797101449,0.6938405797101449,0.6938405797101449,19.898714800016023
component,g0_l1_f0,Grid-Network,42,0.8497307971014492,0.6830546769244465,0.6032608695652174,0.6032608695652174,0.6032608695652174,14.677475799981039
component,g0_l1_f1,Grid-Network,42,0.9110677536231885,0.7508653309230059,0.677536231884058,0.677536231884058,0.677536231884058,13.882584300008602
component,g1_l0_f0,Grid-Network,42,0.9268753623188405,0.8137081684923231,0.7192028985507246,0.7192028985507246,0.7192028985507246,5.741780499985907
component,g1_l0_f1,Grid-Network,42,0.9616826086956523,0.8651150625227542,0.7753623188405797,0.7753623188405797,0.7753623188405797,5.606875900004525
component,g1_l1_f0,Grid-Network,42,0.9133996376811593,0.8009309789952086,0.7228260869565217,0.7228260869565217,0.7228260869565217,7.0593416999909095
component,g1_l1_f1,Grid-Network,42,0.9340960144927537,0.786651490696634,0.717391304347826,0.717391304347826,0.717391304347826,5.378485599998385
component,g0_l0_f0,Grid-Network,123,0.8555355072463768,0.6945586351945255,0.6213768115942029,0.6213768115942029,0.6213768115942029,14.675278300011996
component,g0_l0_f1,Grid-Network,123,0.8719557971014493,0.7009345483274236,0.6032608695652174,0.6032608695652174,0.6032608695652174,14.776796900026966
component,g0_l1_f0,Grid-Network,123,0.8551340579710145,0.6965454706612615,0.6413043478260869,0.6413043478260869,0.6413043478260869,13.087217600026634
component,g0_l1_f1,Grid-Network,123,0.8663148550724638,0.6845988971256928,0.6177536231884058,0.6177536231884058,0.6177536231884058,12.675054399995133
component,g1_l0_f0,Grid-Network,123,0.8927282608695651,0.7237472481826712,0.6231884057971014,0.6231884057971014,0.6231884057971014,4.752262199996039
component,g1_l0_f1,Grid-Network,123,0.9135228260869566,0.7563120572785799,0.6865942028985508,0.6865942028985508,0.6865942028985508,6.0829377000336535
component,g1_l1_f0,Grid-Network,123,0.8676521739130434,0.5886876863508619,0.5253623188405797,0.5253623188405797,0.5253623188405797,7.274943399999756
component,g1_l1_f1,Grid-Network,123,0.8860699275362318,0.7012784014559612,0.6521739130434783,0.6521739130434783,0.6521739130434783,4.775745099992491
component,g0_l0_f0,Grid-Network,456,0.871490579710145,0.701381483910133,0.5960144927536232,0.5960144927536232,0.5960144927536232,10.95791850000387
component,g0_l0_f1,Grid-Network,456,0.898009420289855,0.7100601095143583,0.6014492753623188,0.6014492753623188,0.6014492753623188,12.62721279996913
component,g0_l1_f0,Grid-Network,456,0.8623137681159421,0.7034424533850181,0.6557971014492754,0.6557971014492754,0.6557971014492754,10.294323100009933
component,g0_l1_f1,Grid-Network,456,0.9008496376811592,0.7024111839934998,0.592391304347826,0.592391304347826,0.592391304347826,9.597970600007102
component,g1_l0_f0,Grid-Network,456,0.9270105072463768,0.8038182207823853,0.7010869565217391,0.7010869565217391,0.7010869565217391,3.84184860001551
component,g1_l0_f1,Grid-Network,456,0.9376355072463768,0.7904721171703396,0.7119565217391305,0.7119565217391305,0.7119565217391305,3.9199395999894477
component,g1_l1_f0,Grid-Network,456,0.9103141304347826,0.7721215022557124,0.6811594202898551,0.6811594202898551,0.6811594202898551,7.082301200018264
component,g1_l1_f1,Grid-Network,456,0.9271152173913043,0.7650536788733752,0.6920289855072463,0.6920289855072463,0.6920289855072463,4.606723299948499
component,g0_l0_f0,Grid-Network,789,0.885344927536232,0.7503477124734653,0.6811594202898551,0.6811594202898551,0.6811594202898551,11.595226200006437
component,g0_l0_f1,Grid-Network,789,0.927609420289855,0.72337898962699,0.6213768115942029,0.6213768115942029,0.6213768115942029,11.442534799978603
component,g0_l1_f0,Grid-Network,789,0.8764105072463767,0.7206272878652928,0.657608695652174,0.657608695652174,0.657608695652174,14.164395199972205
component,g0_l1_f1,Grid-Network,789,0.9181655797101449,0.7241155291390463,0.6231884057971014,0.6231884057971014,0.6231884057971014,10.196563800040167
component,g1_l0_f0,Grid-Network,789,0.9289996376811595,0.796138239104971,0.7264492753623188,0.7264492753623188,0.7264492753623188,3.7009773000027053
component,g1_l0_f1,Grid-Network,789,0.9525221014492754,0.7847803218401483,0.6612318840579711,0.6612318840579711,0.6612318840579711,3.7642710000509396
component,g1_l1_f0,Grid-Network,789,0.9114188405797101,0.7609953796799416,0.6992753623188406,0.6992753623188406,0.6992753623188406,6.017052099981811
component,g1_l1_f1,Grid-Network,789,0.9366152173913043,0.7376858846731912,0.6376811594202898,0.6376811594202898,0.6376811594202898,6.819382700021379
component,g0_l0_f0,Grid-Network,1024,0.877409420289855,0.6905370491052925,0.5996376811594203,0.5996376811594203,0.5996376811594203,11.155960000003688
component,g0_l0_f1,Grid-Network,1024,0.9031938405797101,0.712764456691675,0.6159420289855072,0.6159420289855072,0.6159420289855072,13.311521900002845
component,g0_l1_f0,Grid-Network,1024,0.8678536231884058,0.6976195309893621,0.6394927536231884,0.6394927536231884,0.6394927536231884,10.799219799984712
component,g0_l1_f1,Grid-Network,1024,0.9036340579710146,0.7088800430985811,0.605072463768116,0.605072463768116,0.605072463768116,11.32543850003276
component,g1_l0_f0,Grid-Network,1024,0.9078764492753623,0.7382739634038282,0.6394927536231884,0.6394927536231884,0.6394927536231884,3.8549648000043817
component,g1_l0_f1,Grid-Network,1024,0.928057608695652,0.7546557036936659,0.6721014492753623,0.6721014492753623,0.6721014492753623,3.866675800003577
component,g1_l1_f0,Grid-Network,1024,0.8845503623188407,0.6742370442941163,0.5851449275362319,0.5851449275362319,0.5851449275362319,5.401980499969795
component,g1_l1_f1,Grid-Network,1024,0.9145909420289855,0.728686154175496,0.644927536231884,0.644927536231884,0.644927536231884,6.318317199999001
component,g0_l0_f0,Grid-Network,2048,0.8619347826086957,0.7120762540380665,0.6358695652173914,0.6358695652173914,0.6358695652173914,10.345101599988993
component,g0_l0_f1,Grid-Network,2048,0.9092307971014493,0.7624444400785553,0.6702898550724637,0.6702898550724637,0.6702898550724637,14.333086200000253
component,g0_l1_f0,Grid-Network,2048,0.8616492753623187,0.7128525237273021,0.6684782608695652,0.6684782608695652,0.6684782608695652,12.99123830004828
component,g0_l1_f1,Grid-Network,2048,0.8973826086956522,0.7218033114945366,0.644927536231884,0.644927536231884,0.644927536231884,11.582061499997508
component,g1_l0_f0,Grid-Network,2048,0.8864068840579709,0.7073565032190199,0.6612318840579711,0.6612318840579711,0.6612318840579711,4.910223599988967
component,g1_l0_f1,Grid-Network,2048,0.9279528985507246,0.7649574430567158,0.6884057971014492,0.6884057971014492,0.6884057971014492,5.702512700052466
component,g1_l1_f0,Grid-Network,2048,0.872584420289855,0.7296604845480601,0.6829710144927537,0.6829710144927537,0.6829710144927537,6.399555800016969
component,g1_l1_f1,Grid-Network,2048,0.9128181159420289,0.728622725354398,0.6684782608695652,0.6684782608695652,0.6684782608695652,9.132644099998288
component,g0_l0_f0,Grid-Network,3072,0.8561286231884058,0.6336525752339828,0.6141304347826086,0.6141304347826086,0.6141304347826086,8.810793399985414
component,g0_l0_f1,Grid-Network,3072,0.8852123188405798,0.7252774429852905,0.6358695652173914,0.6358695652173914,0.6358695652173914,5.554752499971073
component,g0_l1_f0,Grid-Network,3072,0.846533695652174,0.6850783674874102,0.6105072463768116,0.6105072463768116,0.6105072463768116,6.0752385999658145
component,g0_l1_f1,Grid-Network,3072,0.8861804347826087,0.7315096520688711,0.6684782608695652,0.6684782608695652,0.6684782608695652,6.443202599999495
component,g1_l0_f0,Grid-Network,3072,0.8879264492753622,0.7247294628410132,0.625,0.625,0.625,7.673399600025732
component,g1_l0_f1,Grid-Network,3072,0.9181463768115942,0.7736493850339909,0.7028985507246377,0.7028985507246377,0.7028985507246377,7.724143000028562
component,g1_l1_f0,Grid-Network,3072,0.8742163043478262,0.6739571281744084,0.6159420289855072,0.6159420289855072,0.6159420289855072,5.169404099986423
component,g1_l1_f1,Grid-Network,3072,0.9128003623188404,0.7457728090614217,0.6503623188405797,0.6503623188405797,0.6503623188405797,4.852741100010462
component,g0_l0_f0,Grid-Network,4096,0.8671884057971013,0.6911920758398242,0.6195652173913043,0.6195652173913043,0.6195652173913043,5.865800000028685
component,g0_l0_f1,Grid-Network,4096,0.8978989130434782,0.7272866358770189,0.6557971014492754,0.6557971014492754,0.6557971014492754,5.463502200029325
component,g0_l1_f0,Grid-Network,4096,0.8429460144927535,0.6338546589718378,0.5398550724637681,0.5398550724637681,0.5398550724637681,9.821451499999966
component,g0_l1_f1,Grid-Network,4096,0.8952054347826086,0.7217962831903567,0.6702898550724637,0.6702898550724637,0.6702898550724637,5.918874600029085
component,g1_l0_f0,Grid-Network,4096,0.896280072463768,0.7191006092206149,0.625,0.625,0.625,4.1480500000179745
component,g1_l0_f1,Grid-Network,4096,0.9263025362318841,0.7646950567696997,0.6847826086956522,0.6847826086956522,0.6847826086956522,4.09422899998026
component,g1_l1_f0,Grid-Network,4096,0.8782971014492753,0.679543468012881,0.592391304347826,0.592391304347826,0.592391304347826,4.770651999977417
component,g1_l1_f1,Grid-Network,4096,0.9341836956521741,0.777661123687799,0.717391304347826,0.717391304347826,0.717391304347826,5.792703999963123
component,g0_l0_f0,Grid-Network,5120,0.8723518115942029,0.7206821999978724,0.6376811594202898,0.6376811594202898,0.6376811594202898,5.118834200024139
component,g0_l0_f1,Grid-Network,5120,0.8929615942028986,0.7323134061101597,0.6557971014492754,0.6557971014492754,0.6557971014492754,4.699550999968778
