dataset,seed,variant,tau,fusion_bins,AUC,AUPRC,F1,Precision,Recall,spatial_balls,kinematic_balls,shape_balls,spatial_view_weight,kinematic_view_weight,shape_view_weight,labels_consumed_during_fit
Synthetic,123,bins40,0.85,40,0.901627536231884,0.6985054892965835,0.6920289855072463,0.6920289855072463,0.6920289855072463,225,196,105,0.03653981602886163,0.8156882052215386,0.14777197874959966,False
Synthetic,456,bins40,0.85,40,0.8503467391304347,0.5886128832342693,0.5869565217391305,0.5869565217391305,0.5869565217391305,183,189,71,0.15269367816975127,0.8020899848223237,0.04521633700792501,False
Synthetic,789,bins40,0.85,40,0.8389739130434782,0.5691948636330937,0.5543478260869565,0.5543478260869565,0.5543478260869565,1,194,75,0.46139655567514115,0.519108021206923,0.01949542311793592,False
Synthetic,1024,bins40,0.85,40,0.8344239130434783,0.5436783735306769,0.5362318840579711,0.5362318840579711,0.5362318840579711,1,188,86,0.5777302388379523,0.40019632605916444,0.02207343510288323,False
Synthetic,2048,bins40,0.85,40,0.9126623188405797,0.7416351149681888,0.7137681159420289,0.7137681159420289,0.7137681159420289,222,194,91,0.035353977319388816,0.8188579511737315,0.14578807150687956,False
Synthetic,3072,bins40,0.85,40,0.8514079710144927,0.5564443294693434,0.5471014492753623,0.5471014492753623,0.5471014492753623,1,196,85,0.46336816711792617,0.5192165946516024,0.017415238230471416,False
Synthetic,4096,bins40,0.85,40,0.8568289855072464,0.5680207127973446,0.5434782608695652,0.5434782608695652,0.5434782608695652,1,194,98,0.5217767280120544,0.46170902800785657,0.01651424398008897,False
Synthetic,5120,bins40,0.85,40,0.9087300724637681,0.7773792025770928,0.7318840579710145,0.7318840579710145,0.7318840579710145,207,189,44,0.02761085758751253,0.834404885202668,0.13798425720981944,False
Synthetic,6144,bins40,0.85,40,0.8657623188405797,0.5687791093656893,0.5597826086956522,0.5597826086956522,0.5597826086956522,222,190,79,0.13939154213793484,0.8088459857855944,0.051762472076470785,False
GeoLife,42,tau0p70,0.7,20,0.8128112449799196,0.4879513637114209,0.46686746987951805,0.46686746987951805,0.46686746987951805,90,1,7,0.2248179074729747,0.7325077404318847,0.042674352095140616,False
GeoLife,123,tau0p70,0.7,20,0.8468684738955824,0.5850349091502115,0.5451807228915663,0.5451807228915663,0.5451807228915663,96,97,1,0.21272087063168185,0.6874124844916208,0.09986664487669739,False
GeoLife,456,tau0p70,0.7,20,0.7908744979919677,0.3860725999793256,0.3704819277108434,0.3704819277108434,0.3704819277108434,1,100,4,0.4147257957977502,0.5575469307159769,0.02772727348627278,False
GeoLife,789,tau0p70,0.7,20,0.833043172690763,0.5494609967141353,0.5210843373493976,0.5210843373493976,0.5210843373493976,113,1,60,0.382801538390338,0.5782239580414784,0.03897450356818361,False
GeoLife,1024,tau0p70,0.7,20,0.8479397590361445,0.5511742144662894,0.5150602409638554,0.5150602409638554,0.5150602409638554,65,107,12,0.17254468905651113,0.7757586756100021,0.051696635333486805,False
Grid-Network,42,tau0p70,0.7,20,0.9350630434782609,0.7883849819010048,0.7192028985507246,0.7192028985507246,0.7192028985507246,149,136,57,0.32187882497303716,0.6440150777291552,0.03410609729780751,False
Grid-Network,123,tau0p70,0.7,20,0.8859036231884058,0.7006423068865857,0.6485507246376812,0.6485507246376812,0.6485507246376812,157,174,53,0.3238938005840587,0.6484431104361018,0.027663088979839438,False
Grid-Network,456,tau0p70,0.7,20,0.9270344202898552,0.7646395815243904,0.6902173913043478,0.6902173913043478,0.6902173913043478,135,160,59,0.39372358301152866,0.5802606848147822,0.026015732173689073,False
Grid-Network,789,tau0p70,0.7,20,0.936643115942029,0.7379862066136803,0.6376811594202898,0.6376811594202898,0.6376811594202898,165,169,56,0.36546871961619365,0.6100822300373112,0.02444905034649513,False
Grid-Network,1024,tau0p70,0.7,20,0.9149481884057971,0.7329405807704535,0.6503623188405797,0.6503623188405797,0.6503623188405797,164,177,54,0.3739880047932792,0.6037407720549935,0.022271223151727297,False
Grid-Network,2048,tau0p70,0.7,20,0.9182920289855073,0.7411012550819,0.6721014492753623,0.6721014492753623,0.6721014492753623,141,177,45,0.4382129176988718,0.5431646065352054,0.01862247576592286,False
Grid-Network,3072,tau0p70,0.7,20,0.913519927536232,0.747896682590157,0.6539855072463768,0.6539855072463768,0.6539855072463768,150,155,44,0.40027124758374766,0.5770723376913045,0.022656414724947914,False
Grid-Network,4096,tau0p70,0.7,20,0.9343931159420289,0.7779981183169299,0.6992753623188406,0.6992753623188406,0.6992753623188406,159,169,44,0.4141666063451479,0.5643701962356786,0.02146319741917357,False
Grid-Network,5120,tau0p70,0.7,20,0.9323920289855072,0.7691301281169286,0.6739130434782609,0.6739130434782609,0.6739130434782609,165,168,62,0.36184483205317425,0.6051813819015989,0.03297378604522692,False
Grid-Network,6144,tau0p70,0.7,20,0.9281420289855072,0.7828458936339854,0.677536231884058,0.677536231884058,0.677536231884058,147,91,53,0.2185393765625523,0.7422886902001011,0.03917193323734665,False
Porto-derived,42,tau0p70,0.7,20,0.9756536231884058,0.877757650955046,0.7989130434782609,0.7989130434782609,0.7989130434782609,1,156,58,0.2177409703301338,0.6771872908520702,0.10507173881779594,False
Porto-derived,123,tau0p70,0.7,20,0.9738695652173914,0.8214075867250089,0.7572463768115942,0.7572463768115942,0.7572463768115942,140,178,38,0.3658575434310422,0.5954191634368464,0.038723293132111376,False
Porto-derived,456,tau0p70,0.7,20,0.9687641304347826,0.8503421803279713,0.7644927536231884,0.7644927536231884,0.7644927536231884,1,160,70,0.07085564056322914,0.7164104888772297,0.2127338705595411,False
Porto-derived,789,tau0p70,0.7,20,0.9587144927536232,0.7577242253543404,0.6702898550724637,0.6702898550724637,0.6702898550724637,124,182,76,0.34956749782395363,0.6053835868858467,0.045048915290199706,False
Porto-derived,1024,tau0p70,0.7,20,0.9630036231884058,0.7886503933850874,0.7047101449275363,0.7047101449275363,0.7047101449275363,146,139,18,0.33617481122402804,0.6286821812799056,0.03514300749606631,False
Synthetic,42,tau0p70,0.7,20,0.8957858695652174,0.6723796169070789,0.717391304347826,0.717391304347826,0.717391304347826,288,215,104,0.03426176748326021,0.808563908403019,0.15717432411372073,False
Synthetic,123,tau0p70,0.7,20,0.9027445652173914,0.7137938297453633,0.6992753623188406,0.6992753623188406,0.6992753623188406,286,218,125,0.03589491255048183,0.8100655281823022,0.154039559267216,False
Synthetic,456,tau0p70,0.7,20,0.8875007246376811,0.6700676752148954,0.6467391304347826,0.6467391304347826,0.6467391304347826,242,210,83,0.04766375011884916,0.8431540121666942,0.10918223771445655,False
Synthetic,789,tau0p70,0.7,20,0.8439257246376813,0.5782942232581196,0.5670289855072463,0.5670289855072463,0.5670289855072463,1,211,86,0.4851033770508875,0.49309654845309103,0.021800074496021456,False
Synthetic,1024,tau0p70,0.7,20,0.8342322463768117,0.5456670881020286,0.5380434782608695,0.5380434782608695,0.5380434782608695,1,208,99,0.5508044271167115,0.4256419717458477,0.023553601137440885,False
Synthetic,2048,tau0p70,0.7,20,0.9055329710144928,0.679832371932173,0.6485507246376812,0.6485507246376812,0.6485507246376812,288,216,106,0.04059165738085048,0.85734429718849,0.1020640454306594,False
Synthetic,3072,tau0p70,0.7,20,0.8562445652173912,0.5586547281959436,0.5471014492753623,0.5471014492753623,0.5471014492753623,1,224,101,0.48304470096630064,0.49546261264237895,0.02149268639132048,False
Synthetic,4096,tau0p70,0.7,20,0.8644134057971015,0.585113867642639,0.5597826086956522,0.5597826086956522,0.5597826086956522,1,210,114,0.511830991863539,0.4685475347137286,0.019621473422732467,False
Synthetic,5120,tau0p70,0.7,20,0.9079826086956522,0.7868690543150645,0.7427536231884058,0.7427536231884058,0.7427536231884058,280,211,46,0.029465230586322336,0.8037315484462826,0.166803220967395,False
Synthetic,6144,tau0p70,0.7,20,0.8705086956521738,0.5749983129120222,0.5634057971014492,0.5634057971014492,0.5634057971014492,297,219,95,0.19490990041539777,0.7543292426333785,0.05076085695122367,False
GeoLife,42,tau0p80,0.8,20,0.8128022088353414,0.48849657705974725,0.46686746987951805,0.46686746987951805,0.46686746987951805,88,1,7,0.22426658070222477,0.7330287162528883,0.042704703044886834,False
GeoLife,123,tau0p80,0.8,20,0.8453684738955825,0.5830074221368018,0.5421686746987951,0.5421686746987951,0.5421686746987951,91,96,1,0.20700955002493648,0.6923993219950626,0.10059112798000083,False
GeoLife,456,tau0p80,0.8,20,0.790785140562249,0.38547099306855587,0.3704819277108434,0.3704819277108434,0.3704819277108434,1,99,4,0.4147257957977502,0.5575469307159769,0.02772727348627278,False
GeoLife,789,tau0p80,0.8,20,0.8330160642570281,0.5468639446550833,0.5180722891566265,0.5180722891566265,0.5180722891566265,109,1,59,0.3879067301572861,0.5732811351202215,0.03881213472249239,False
GeoLife,1024,tau0p80,0.8,20,0.8479206827309236,0.5504640942450667,0.5150602409638554,0.5150602409638554,0.5150602409638554,65,106,12,0.17235599155031106,0.7760039093458578,0.05164009910383115,False
Grid-Network,42,tau0p80,0.8,20,0.9342355072463768,0.7871954629907921,0.7155797101449275,0.7155797101449275,0.7155797101449275,149,135,57,0.32187882497303716,0.6440150777291552,0.03410609729780751,False
Grid-Network,123,tau0p80,0.8,20,0.885933695652174,0.7009980741857812,0.6503623188405797,0.6503623188405797,0.6503623188405797,156,172,53,0.3239299792257478,0.6484084120544445,0.02766160871980769,False
Grid-Network,456,tau0p80,0.8,20,0.927297463768116,0.7657424782796952,0.6920289855072463,0.6920289855072463,0.6920289855072463,133,160,59,0.3948103688887602,0.5792205336565006,0.02596909745473918,False
Grid-Network,789,tau0p80,0.8,20,0.9366297101449277,0.7377757935898052,0.6376811594202898,0.6376811594202898,0.6376811594202898,165,168,56,0.36546871961619365,0.6100822300373112,0.02444905034649513,False
Grid-Network,1024,tau0p80,0.8,20,0.9146123188405797,0.7302688192041966,0.6467391304347826,0.6467391304347826,0.6467391304347826,163,176,54,0.37248193729350804,0.6051932591671271,0.0223248035393649,False
Grid-Network,2048,tau0p80,0.8,20,0.9128181159420289,0.728622725354398,0.6684782608695652,0.6684782608695652,0.6684782608695652,139,175,45,0.39670941492737605,0.5832923247810099,0.01999826029161404,False
