dataset,seed,min_samples,view,n_balls,mean_ball_size,size_strata_available,size_stratum_cosine_mean,weighted_local_l1_from_run_profile
Synthetic,4096,32,trajectory_shape,13,427.0769230769231,3,0.8970761865597061,0.23620328620127914
Synthetic,5120,4,spatial_path,272,20.41176470588235,3,0.9465016144730537,0.6079094470197914
Synthetic,5120,4,kinematic,226,24.56637168141593,3,0.9862975155940723,0.29037159960432846
Synthetic,5120,4,trajectory_shape,156,35.58974358974359,3,0.9516969555489431,0.5347052599066009
Synthetic,5120,8,spatial_path,207,26.82125603864734,3,0.9642778956703508,0.5911733875231239
Synthetic,5120,8,kinematic,189,29.375661375661377,3,0.9955135606731217,0.27913677725595987
Synthetic,5120,8,trajectory_shape,44,126.18181818181819,3,0.895351409942219,0.4156757363612733
Synthetic,5120,16,spatial_path,1,5552.0,1,,1.5612511283791264e-17
Synthetic,5120,16,kinematic,138,40.231884057971016,3,0.9991345180447047,0.2727101626714541
Synthetic,5120,16,trajectory_shape,27,205.62962962962962,3,0.8901014635603572,0.35516385928685745
Synthetic,5120,32,spatial_path,1,5552.0,1,,1.5612511283791264e-17
Synthetic,5120,32,kinematic,77,72.1038961038961,3,0.993551520937508,0.2535130264774175
Synthetic,5120,32,trajectory_shape,12,462.6666666666667,2,0.7510227936317679,0.25804120669825104
Synthetic,6144,4,spatial_path,289,19.21107266435986,3,0.9497776807061712,0.6040465541751684
Synthetic,6144,4,kinematic,230,24.139130434782608,3,0.9855699739297163,0.2927766549928115
Synthetic,6144,4,trajectory_shape,184,30.17391304347826,3,0.9607292522882241,0.549860301404568
Synthetic,6144,8,spatial_path,222,25.00900900900901,3,0.9618191861968836,0.5921529499087296
Synthetic,6144,8,kinematic,190,29.221052631578946,3,0.9963882183002121,0.28105294575459056
Synthetic,6144,8,trajectory_shape,79,70.27848101265823,3,0.9646695069305973,0.4316601629932336
Synthetic,6144,16,spatial_path,153,36.287581699346404,3,0.9274228677148155,0.5557071541111723
Synthetic,6144,16,kinematic,130,42.707692307692305,3,0.9989335419251638,0.2698073143628309
Synthetic,6144,16,trajectory_shape,45,123.37777777777778,3,0.9096206816528313,0.36090213124621345
Synthetic,6144,32,spatial_path,90,61.68888888888889,3,0.9407683749373313,0.5285747719533976
Synthetic,6144,32,kinematic,72,77.11111111111111,3,0.9964526728420727,0.27149439308081313
Synthetic,6144,32,trajectory_shape,20,277.6,3,0.8890237543761789,0.2889448036390199
Grid-Network,42,4,spatial_path,197,28.18274111675127,3,0.9462228831520961,0.5334370339328812
Grid-Network,42,4,kinematic,162,34.27160493827161,3,0.9853224586699437,0.35250185192532146
Grid-Network,42,4,trajectory_shape,83,66.89156626506023,3,0.9128744961640146,0.5947943061665849
Grid-Network,42,8,spatial_path,149,37.261744966442954,3,0.9625485325632909,0.5079588442177669
Grid-Network,42,8,kinematic,134,41.43283582089552,3,0.9908487760355674,0.36710452199649063
Grid-Network,42,8,trajectory_shape,57,97.40350877192982,3,0.9454940053960909,0.5532738212965768
Grid-Network,42,16,spatial_path,101,54.97029702970297,3,0.979680356064347,0.49154984488840936
Grid-Network,42,16,kinematic,101,54.97029702970297,3,0.9756777978776418,0.36368573476450666
Grid-Network,42,16,trajectory_shape,49,113.3061224489796,3,0.9109719307944752,0.5320725815823576
Grid-Network,42,32,spatial_path,57,97.40350877192982,3,0.9848322352659976,0.4566282775451608
Grid-Network,42,32,kinematic,52,106.76923076923077,3,0.9780776621366466,0.34135346949911954
Grid-Network,42,32,trajectory_shape,43,129.11627906976744,2,0.9121465042627068,0.5426811315016542
Grid-Network,123,4,spatial_path,204,27.215686274509803,3,0.9553295414205443,0.5150993872525919
Grid-Network,123,4,kinematic,193,28.76683937823834,3,0.9937416493356258,0.36076555506910823
Grid-Network,123,4,trajectory_shape,78,71.17948717948718,3,0.9372767212771874,0.574935404361456
Grid-Network,123,8,spatial_path,156,35.58974358974359,3,0.9851838771075919,0.5086332841909634
Grid-Network,123,8,kinematic,171,32.46783625730994,3,0.9948145336345636,0.37019261916331986
Grid-Network,123,8,trajectory_shape,53,104.75471698113208,3,0.9058830724139577,0.5422779753635576
Grid-Network,123,16,spatial_path,115,48.278260869565216,3,0.9635869209010144,0.4812804595909378
Grid-Network,123,16,kinematic,91,61.010989010989015,3,0.9713284062715988,0.3923060141123838
Grid-Network,123,16,trajectory_shape,46,120.69565217391305,3,0.8373408557863558,0.5310505372427881
Grid-Network,123,32,spatial_path,65,85.41538461538461,3,0.9435922214337195,0.46209162304395857
Grid-Network,123,32,kinematic,56,99.14285714285714,3,0.9559107964516135,0.38068221555948334
Grid-Network,123,32,trajectory_shape,41,135.41463414634146,3,0.7643357384636453,0.5252052672413727
Grid-Network,456,4,spatial_path,179,31.01675977653631,3,0.9652732111648367,0.5053158710271455
Grid-Network,456,4,kinematic,180,30.844444444444445,3,0.9861126776022888,0.3574542101921021
Grid-Network,456,4,trajectory_shape,91,61.010989010989015,3,0.9677220926089439,0.5657978258676286
Grid-Network,456,8,spatial_path,133,41.744360902255636,3,0.9792275222674146,0.47319065251322623
Grid-Network,456,8,kinematic,159,34.918238993710695,3,0.9935627665692017,0.36424477915102926
Grid-Network,456,8,trajectory_shape,59,94.10169491525424,3,0.9200131027499442,0.5059429158154558
